x,psi_exact,psi_explicit,remainder psi_exact - explicit,ratio = |remainder|/(sqrt(x)*log(x)^2),T_used
100,94.045311229357,94.062682030139,-0.017370800781,8.190840534479e-05,5000
101,98.660431746199,96.340438407393,2.319993338805,1.083826980824e-02,5000
102,98.660431746199,98.644956922810,0.015474823389,7.163202802232e-05,5000
103,103.295160734428,100.987691119915,2.307469614513,1.058445960999e-02,5000
104,103.295160734428,103.307467440624,-0.012306706196,5.594581851741e-05,5000
105,103.295160734428,103.302860003667,-0.007699269239,3.469041533270e-05,5000
106,103.295160734428,103.271923887796,0.023236846632,1.037795159419e-04,5000
107,107.967989568890,105.621910827036,2.346078741854,1.038701955479e-02,5000
108,107.967989568890,107.991852808471,-0.023863239580,1.047442907822e-04,5000
109,112.659337451119,110.304652322484,2.354685128636,1.024765071582e-02,5000
110,112.659337451119,112.639200641170,0.020136809950,8.689801234458e-05,5000
111,112.659337451119,112.682601075991,-0.023263624872,9.955446073485e-05,5000
112,112.659337451119,112.708438635052,-0.049101183932,2.083892164326e-04,5000
113,117.386725269832,115.036138263505,2.350587006327,9.894518065431e-03,5000
114,117.386725269832,117.363523037554,0.023202232278,9.687630417915e-05,5000
115,117.386725269832,117.381313317694,0.005411952138,2.241532384376e-05,5000
116,117.386725269832,117.389388859631,-0.002663589800,1.094447344543e-05,5000
117,117.386725269832,117.391267389859,-0.004542120027,1.851634091754e-05,5000
118,117.386725269832,117.386777172239,-0.000051902407,2.099351111112e-07,5000
119,117.386725269832,117.383583216655,0.003142053177,1.261082631799e-05,5000
120,117.386725269832,117.379779364840,0.006945904991,2.766445632669e-05,5000
121,119.784620542630,118.577079223760,1.207541318870,4.772972152862e-03,5000
122,119.784620542630,119.810739472562,-0.026118929932,1.024626685585e-04,5000
123,119.784620542630,119.766441376949,0.018179165681,7.078428968233e-05,5000
124,119.784620542630,119.798618853012,-0.013998310382,5.410282737858e-05,5000
125,121.394058455064,120.565973397909,0.828085057155,3.177086044533e-03,5000
126,121.394058455064,121.395782504710,-0.001724049646,6.566610837272e-06,5000
127,126.238245541523,123.826511477825,2.411734063697,9.119808978423e-03,5000
128,126.931392722083,126.565784408438,0.365608313645,1.372663468641e-03,5000
129,126.931392722083,126.936383279098,-0.004990557015,1.860437805047e-05,5000
130,126.931392722083,126.969611197072,-0.038218474989,1.414762727304e-04,5000
131,131.806590045284,129.372050007548,2.434540037736,8.949460932763e-03,5000
132,131.806590045284,131.769641455894,0.036948589390,1.348878036803e-04,5000
133,131.806590045284,131.787822932635,0.018767112649,6.804432499892e-05,5000
134,131.806590045284,131.790260373959,0.016329671325,5.880522180810e-05,5000
135,131.806590045284,131.790683851978,0.015906193306,5.689481522671e-05,5000
136,131.806590045284,131.808025816260,-0.001435770976,5.101327477527e-06,5000
137,136.726570971112,134.243669321583,2.482901649529,8.763395158322e-03,5000
138,136.726570971112,136.723481266367,0.003089704745,1.083347014043e-05,5000
139,141.661044904243,139.219984530333,2.441060373910,8.503337221267e-03,5000
140,141.661044904243,141.663992660835,-0.002947756592,1.020199175447e-05,5000
141,141.661044904243,141.668627382358,-0.007582478116,2.607407099836e-05,5000
142,141.661044904243,141.661512084183,-0.000467179940,1.596275063333e-06,5000
143,141.661044904243,141.654352833703,0.006692070540,2.272119312565e-05,5000
144,141.661044904243,141.670928337292,-0.009883433049,3.334620615205e-05,5000
145,141.661044904243,141.648864817336,0.012180086906,4.083923263224e-05,5000
146,141.661044904243,141.675485115411,-0.014440211169,4.811822603866e-05,5000
147,141.661044904243,141.647654156532,0.013390747711,4.434756447513e-05,5000
148,141.661044904243,141.652305544141,0.008739360102,2.876690777280e-05,5000
149,146.664991210188,144.145058370717,2.519932839471,8.244618228417e-03,5000
150,146.664991210188,146.667327010465,-0.002335800277,7.596341660923e-06,5000
151,151.682271047003,149.199210769581,2.483060277422,8.027164076543e-03,5000
152,151.682271047003,151.678126869727,0.004144177277,1.331796675280e-05,5000
153,151.682271047003,151.685152603826,-0.002881556823,9.205976984085e-06,5000
154,151.682271047003,151.677011881349,0.005259165654,1.670401078591e-05,5000
155,151.682271047003,151.686701750278,-0.004430703275,1.399122250340e-05,5000
156,151.682271047003,151.722337539307,-0.040066492304,1.257943207315e-04,5000
157,156.738516852351,154.208920695867,2.529596156485,7.896688543679e-03,5000
158,156.738516852351,156.691223774002,0.047293078350,1.467988531365e-04,5000
159,156.738516852351,156.718468277600,0.020048574751,6.188092186740e-05,5000
160,156.738516852351,156.727643119737,0.010873732615,3.337465745266e-05,5000
161,156.738516852351,156.736067202466,0.002449649886,7.476934342240e-06,5000
162,156.738516852351,156.762046855771,-0.023530003420,7.142318145683e-05,5000
163,161.832267053158,159.263494545605,2.568772507553,7.754549202392e-03,5000
164,161.832267053158,161.775934850815,0.056332202343,1.691286582731e-04,5000
165,161.832267053158,161.830313575787,0.001953477371,5.833296708811e-06,5000
166,161.832267053158,161.878834862047,-0.046567808889,1.383095424317e-04,5000
167,166.950260865575,164.388734020140,2.561526845435,7.567303686877e-03,5000
168,166.950260865575,166.913657988370,0.036602877205,1.075594190601e-04,5000
169,169.515210223036,168.249667706613,1.265542516423,3.699268094867e-03,5000
170,169.515210223036,169.556534250651,-0.041324027614,1.201606422175e-04,5000
171,169.515210223036,169.498064783416,0.017145439621,4.959561265021e-05,5000
172,169.515210223036,169.470802431228,0.044407791808,1.277918555626e-04,5000
173,174.668501817534,172.109405455046,2.559096362488,7.326459501179e-03,5000
174,174.668501817534,174.690709465081,-0.022207647546,6.325393762639e-05,5000
