"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0.12","1100","1100","0.37840712795750314","0.00090826521344232502",".\out\HR_Final_pkg_FINAL_D1100_beta0.12.zip","CBA1CF4030A25BDAD426FD771FDC2D1318E6F6F7D4DD6A452692428EA2962FE9"
"0.12","1050","1050","0.39582786416070503","0.00095147478591817299",".\out\HR_Final_pkg_FINAL_D1050_beta0.12.zip","B2FC62586183F5C36A9F8AC963078B418FAD647B6F78900C15A40629973D4376"
"0.12","1000","1000","0.41496748469009376","0.000999000999000999",".\out\HR_Final_pkg_FINAL_D1000_beta0.12.zip","B67BC8DFE550B07EA9AC8AFB604F3706CFB9F1B5EE0EC54CD7D9B64A27812F1F"
"0.12","950","950","0.43621625171758011","0.0010515247108306999",".\out\HR_Final_pkg_FINAL_D950_beta0.12.zip","80C328904FE3F1E36774D22C9CF2613EC65AD1D4D603D83ECEF28D048D3262D2"
"0.12","900","900","0.45983260372613183","0.00110987791342952",".\out\HR_Final_pkg_FINAL_D900_beta0.12.zip","82B7B75CFCDACE06EF7592B15E3D50C9DCEE2BA509FE7055EB192AC5E396FAE0"
"0.12","850","850","0.48607829694687749","0.0011750881316098701",".\out\HR_Final_pkg_FINAL_D850_beta0.12.zip","0EFD564421C7C402D8A5745A2CBC4279B56EAC259BDE3EF2EE9FF6495B4F3062"
"0.12","800","800","0.51577959371287596","0.00124843945068664",".\out\HR_Final_pkg_FINAL_D800_beta0.12.zip","3931C3A9ABFCF7DD2D7F758BADC80AB97A78777023C51AEF6DEA1F3B51261EA6"
"0.12","750","750","0.54939534392164935","0.0013315579227696399",".\out\HR_Final_pkg_FINAL_D750_beta0.12.zip","80BA0A6C89B5200A06B7DC54377DE52E5E3BEBC0A037CC0B55CA305DD3AEA8B9"
"0.12","700","700","0.58774925893496666","0.0014265335235377999",".\out\HR_Final_pkg_FINAL_D700_beta0.12.zip","CBEAC4B33DB87A32D9FFC7A287B5FB9894B68EF3B0B9D6225787A1E609AC2505"
"0.12","650","650","0.63204192182441576","0.00153609831029186",".\out\HR_Final_pkg_FINAL_D650_beta0.12.zip","A8D80646735EB40B0B0A8FCA1C4CDE1055752088B7A162838EC278E1462DC42B"
"0.12","600","600","0.68365855480617599","0.00166389351081531",".\out\HR_Final_pkg_FINAL_D600_beta0.12.zip","FB1D196FF8E1E273364B793A0885FCBFB3A482E249094A8FF0374072F5A7B68E"
