"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0.11","1100","1100","0.37733136570255965","0.00090826521344232502",".\out\HR_Final_pkg_FINAL_D1100_beta0.11.zip","1831A1F1E2F258B3DE287BC9509A685D87CBCD908513368E27094DBAE1311D78"
"0.11","1050","1050","0.39461053331543972","0.00095147478591817299",".\out\HR_Final_pkg_FINAL_D1050_beta0.11.zip","3798E288D0DE1EDB9EE64A498B846C7E062DB41B76F52DFD08BD405C23D9BEDB"
"0.11","1000","1000","0.41402722757584615","0.000999000999000999",".\out\HR_Final_pkg_FINAL_D1000_beta0.11.zip","9E8E81EDB9BC8C470C35D77748F9F6869233A07F4E92110A6CA2F7DD2B0891D4"
"0.11","950","950","0.4350737039194672","0.0010515247108306999",".\out\HR_Final_pkg_FINAL_D950_beta0.11.zip","35B7A9E3CE3BCC5B11E13531CF7BC4A2ACF05C4AD49C73B9EE09DEF1AABA7A74"
"0.11","900","900","0.45884899549162228","0.00110987791342952",".\out\HR_Final_pkg_FINAL_D900_beta0.11.zip","9B588FD14CE5789CD2A696E40D4EC0CB9A912A48DD562E5598B5856AF7FFAE36"
"0.11","850","850","0.4848627963220955","0.0011750881316098701",".\out\HR_Final_pkg_FINAL_D850_beta0.11.zip","6E03F8835214FF58A685D9EDA491280285E9FB389A3383F34EB94C3DDC1FC234"
"0.11","800","800","0.51474248180932647","0.00124843945068664",".\out\HR_Final_pkg_FINAL_D800_beta0.11.zip","52EB92FDE7522D7923D960CBE19F5E8C0C2CFBDA95AFF508C807E6FF1CD973DC"
"0.11","750","750","0.5479891990058261","0.0013315579227696399",".\out\HR_Final_pkg_FINAL_D750_beta0.11.zip","1C7D70275B31FB5849C97B0D05DB7DD9625A0B2B81C68546CA209C595B3AB10F"
"0.11","700","700","0.5867531957858414","0.0014265335235377999",".\out\HR_Final_pkg_FINAL_D700_beta0.11.zip","E56ABCE8B31D28FD0F6E57BA78E7ABCFA6E4D336CA64442CEF39BB77873804EF"
"0.11","650","650","0.63051494334921321","0.00153609831029186",".\out\HR_Final_pkg_FINAL_D650_beta0.11.zip","77B9DA84B6AA3FFC26DD80868D07F9385A7A13254648B25E1E6FC452C31ECC87"
"0.11","600","600","0.68265841305508168","0.00166389351081531",".\out\HR_Final_pkg_FINAL_D600_beta0.11.zip","AAD20D2CFEC6B9693196223216B4CB12C2987ED7067CEBA63D97FF9CBDFE5D98"
