"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0.08","1100","1100","0.37435816857683724","0.00090826521344232502",".\out\HR_Final_pkg_FINAL_D1100_beta0.08.zip","90257E1748FFBCD054EC75A9B3618CD134D8D0FECE37E9EBB17C9CB45A5691CA"
"0.08","1050","1050","0.39183283927722662","0.00095147478591817299",".\out\HR_Final_pkg_FINAL_D1050_beta0.08.zip","014287D82AF5061D016996831E0B7A4DCDA9E08F367CDC59009292ADF03F1677"
"0.08","1000","1000","0.41099890210036716","0.000999000999000999",".\out\HR_Final_pkg_FINAL_D1000_beta0.08.zip","104DB5521534ABE08C4C14D4FA82FEF7EDE16AD2CD61C77D0AA0FE9BA2C18E57"
"0.08","950","950","0.43223439121325191","0.0010515247108306999",".\out\HR_Final_pkg_FINAL_D950_beta0.08.zip","6468BF649B53B72AB95A50C7D0EDE3594CD9571E99A0769F4F08148E577290E1"
"0.08","900","900","0.4557723698708756","0.00110987791342952",".\out\HR_Final_pkg_FINAL_D900_beta0.08.zip","7373D44BFEE12965F8BF8CEFC703173CB7EFCC864390020B9EE44F2876E3BE5B"
"0.08","850","850","0.48208611167127524","0.0011750881316098701",".\out\HR_Final_pkg_FINAL_D850_beta0.08.zip","EBA82A600DF920FA55A1283ECBA738ED3B8568AD04F206B9A67CA896B2227D87"
"0.08","800","800","0.51171217157859217","0.00124843945068664",".\out\HR_Final_pkg_FINAL_D800_beta0.08.zip","0F9FB7592C863FF4B11C94B6C2AD0B011E712DD50DCB4F6E3C0BFB87B5EE0CB2"
"0.08","750","750","0.54529338977213104","0.0013315579227696399",".\out\HR_Final_pkg_FINAL_D750_beta0.08.zip","DC01FF7ED21A566D49DF3C2CE79D108210B8C447CEE065016BFFBD39A2F2EEDC"
"0.08","700","700","0.58365963690252787","0.0014265335235377999",".\out\HR_Final_pkg_FINAL_D700_beta0.08.zip","C73A219FFC52EA9B0DA36F61E0CBC1FBE2D3BAD48591756886A392317C21891A"
"0.08","650","650","0.62791444470764435","0.00153609831029186",".\out\HR_Final_pkg_FINAL_D650_beta0.08.zip","F75A0C8BA910359DE1875D8884A5F282D4CC48ED195C5F43FD5106B620477BBE"
"0.08","600","600","0.67954133230604807","0.00166389351081531",".\out\HR_Final_pkg_FINAL_D600_beta0.08.zip","2DAC9C66243C4BD5470E3C69B6AA72360B29E191D5FBEEA1B45D6A271D42FF86"
