"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0,1","800","800","0,5137486276088729","0,00124843945068664",".\out\HR_Final_pkg_FINAL_D800_beta0.1.zip","EC09D9C6661B74F542FF4601E213BD5F99327015F55E46E9E42DDC599D50309A"
"0,1","750","750","0,5473634783573844","0,00133155792276964",".\out\HR_Final_pkg_FINAL_D750_beta0.1.zip","0E288CE78FF2225DA8CAA0E2E22150256AA10568F5105B113F451DB0A7D6A211"
"0,1","700","700","0,585705307661125","0,0014265335235378",".\out\HR_Final_pkg_FINAL_D700_beta0.1.zip","F791193D940018B0DD5FEFA5F26D37EE3F794B9770775F8C2D0DD9DB3C792E7E"
"0,1","650","650","0,6299890365279398","0,00153609831029186",".\out\HR_Final_pkg_FINAL_D650_beta0.1.zip","EAB74BFC4641ADD2A9308EA8F3121E99FB7916F0037062E0B2D7A402C7B677E0"
