"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0,1","1000","1000","0,41297720650860537","0,000999000999000999",".\out\HR_Final_pkg_FINAL_D1000_beta0.1.zip","1EAC9CBD975C6B7BC061AEBD55246BBE9CA60527E2EA2F09ECC12EF497FDF77C"
"0,1","950","950","0,43422295712923653","0,0010515247108307",".\out\HR_Final_pkg_FINAL_D950_beta0.1.zip","C854F18809615FB6A6BDBF4CCF25BE8E8C18ED02237A728D1F7C7C5B0831BD11"
"0,1","900","900","0,4578294532540001","0,00110987791342952",".\out\HR_Final_pkg_FINAL_D900_beta0.1.zip","5E547120B4A8C38C20AF4E402255C3B06B54F0F845132DF496A0672EE1B284C7"
"0,1","850","850","0,4841352306821395","0,00117508813160987",".\out\HR_Final_pkg_FINAL_D850_beta0.1.zip","9F2BD6917D69E8880778FCDC7C4D9F20B0EEE2021E2F2C091A2D0BF3C4B8E9B8"
