14,134725142000
21,022039639000
25,010857580000
30,424876126000
32,935061588000
37,586178159000
40,918719012000
43,327073281000
48,005150881000
49,773832478000
52,970321478000
56,446247697000
59,347044003000
60,831778525000
65,112544048000
67,079810529000
69,546401711000
72,067157674000
75,704690699000
77,144840069000
79,337375020000
82,910380854000
84,735492981000
87,425274613000
88,809111208000
92,491899271000
94,651344041000
95,870634228000
98,831194218000
101,317851006000
103,725538040000
105,446623052000
107,168611184000
111,029535543000
111,874659177000
114,320220915000
116,226680321000
118,790782866000
121,370125002000
122,946829294000
124,256818554000
127,516683880000
129,578704200000
131,087688531000
133,497737203000
134,756509753000
138,116042055000
139,736208952000
141,123707404000
143,111845808000
146,000982487000
147,422765343000
150,053520421000
150,925257612000
153,024693811000
156,112909294000
157,597591818000
158,849988171000
161,188964138000
163,030709687000
165,537069188000
167,184439978000
169,094515416000
169,911976479000
173,411536520000
174,754191523000
176,441434298000
178,377407776000
179,916484020000
182,207078484000
184,874467848000
185,598783678000
187,228922584000
189,416158656000
192,026656361000
193,079726604000
195,265396680000
196,876481841000
198,015309676000
201,264751944000
202,493594514000
204,189671803000
205,394697202000
207,906258888000
209,576509717000
211,690862595000
213,347919360000
214,547044783000
216,169538508000
219,067596349000
220,714918839000
221,430705555000
224,007000255000
224,983324670000
227,421444280000
229,337413306000
231,250188700000
231,987235253000
233,693404179000
236,524229666000
237,769820481000
239,555477573000
241,049157796000
242,823271934000
244,070898497000
247,136990075000
248,101990060000
249,573689645000
251,014947795000
253,069986748000
255,306256455000
256,380713694000
258,610439492000
259,874406990000
260,805084505000
263,573893905000
265,557851839000
266,614973782000
267,921915083000
269,970449024000
271,494055642000
273,459609188000
275,587492649000
276,452049503000
278,250743530000
279,229250928000
282,465114765000
283,211185733000
284,835963981000
286,667445363000
287,911920501000
289,579854929000
291,846291329000
293,558434139000
294,965369619000
295,573254879000
297,979277062000
299,840326054000
301,649325462000
302,696749590000
304,864371341000
305,728912602000
307,219496128000
310,109463147000
311,165141530000
312,427801181000
313,985285731000
315,475616089000
317,734805942000
318,853104256000
321,160134309000
322,144558672000
323,466969558000
324,862866052000
327,443901262000
329,033071680000
329,953239728000
331,474467583000
333,645378525000
334,211354833000
336,841850428000
338,339992851000
339,858216725000
341,042261111000
342,054877510000
344,661702940000
346,347870566000
347,272677584000
349,316260871000
350,408419349000
351,878649025000
353,488900489000
356,017574977000
357,151302252000
357,952685102000
359,743754953000
361,289361696000
363,331330579000
364,736024114000
366,212710288000
367,993575482000
368,968438096000
370,050919212000
373,061928372000
373,864873911000
375,825912767000
376,324092231000
378,436680250000
379,872975347000
381,484468617000
383,443529450000
384,956116815000
385,861300846000
387,222890222000
388,846128354000
391,456083564000
392,245083340000
393,427743844000
395,582870011000
396,381854223000
397,918736210000
399,985119876000
